i\j   | b(0)   | o(1)   | a(2)   | t(3)   | s(4)   | r(5)   | a(6)   | c(7)   | e(8)   | c(9)   | a(10)   | r(11)   | w(12)   | a(13)   | g(14)   | o(15)   | n(16)   |
b(0)  | 1      | 1      | 1      | 1      | 1      | 1      | 3      | 3      | 3      | 3      | 5      | 7      | 7      | 9      | 9      | 11      | 11      |
o(1)  | 0      | 1      | 1      | 1      | 1      | 1      | 3      | 3      | 3      | 3      | 5      | 7      | 7      | 9      | 9      | 11      | 11      |
a(2)  | 0      | 0      | 1      | 1      | 1      | 1      | 3      | 3      | 3      | 3      | 5      | 7      | 7      | 9      | 9      | 9      | 9      |
t(3)  | 0      | 0      | 0      | 1      | 1      | 1      | 1      | 1      | 1      | 3      | 5      | 7      | 7      | 7      | 7      | 7      | 7      |
s(4)  | 0      | 0      | 0      | 0      | 1      | 1      | 1      | 1      | 1      | 3      | 5      | 7      | 7      | 7      | 7      | 7      | 7      |
r(5)  | 0      | 0      | 0      | 0      | 0      | 1      | 1      | 1      | 1      | 3      | 5      | 7      | 7      | 7      | 7      | 7      | 7      |
a(6)  | 0      | 0      | 0      | 0      | 0      | 0      | 1      | 1      | 1      | 3      | 5      | 5      | 5      | 5      | 5      | 5      | 5      |
c(7)  | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 1      | 1      | 3      | 3      | 3      | 3      | 3      | 3      | 3      | 3      |
e(8)  | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 1      | 1      | 1      | 1      | 1      | 3      | 3      | 3      | 3      |
c(9)  | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 1      | 1      | 1      | 1      | 3      | 3      | 3      | 3      |
a(10)  | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 1      | 1      | 1      | 3      | 3      | 3      | 3      |
r(11)  | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 1      | 1      | 1      | 1      | 1      | 1      |
w(12)  | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 1      | 1      | 1      | 1      | 1      |
a(13)  | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 1      | 1      | 1      | 1      |
g(14)  | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 1      | 1      | 1      |
o(15)  | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 1      | 1      |
n(16)  | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 0      | 1      |

The longest palindrome is: oaracecarao which is of length, 11
